Rez.-Nr.,PC1,PC2,PC3,PC4,PC5,Dominant_OT
187.791P,-0.9374892839294812,-0.5313824335133884,-0.5624800977925145,0.3599805356167097,0.03751688091905376,warm
187.796P,6.515352821287971,2.004502624698808,7.925095059633599,3.3682728294384563,9.130336461809286,fruity
187.799P,-1.0844482634374835,-0.23969808095226003,0.06625765228455766,-0.021677896409156024,0.4686737757163902,fruity
187.800P,-1.4533537902249754,-0.9210950184915705,-0.46412194996013734,0.25273549570640363,0.3003423880267016,fruity
187.826P,-1.9918954794741663,-0.877963304356557,-0.49511574724550916,0.4381229181191047,0.32262453955432674,fruity
187.829P,-0.6332504268026835,-0.31696743408907013,-0.1852969662305117,0.574610599928761,0.23291609734469068,fruity
187.834P,2.8464575496855953,-1.277899270785726,0.7385108985506306,-2.0267669702033126,-0.8963318509314571,fruity
187.843P,-1.0655461512199929,-0.4541742586332954,0.5221622892266266,0.33315889039006136,0.24546252700194204,fruity
187.870P,-0.534811643813159,-0.8429483409113049,-0.19146165710468194,-0.37983867716910047,0.14237766077216546,fruity
187.871P,1.4105131651306875,-0.42910065952353377,1.9882465310828743,-3.966412693879758,0.01694773790944053,fruity
187.885P,-1.0731212940391206,-1.2111914565426778,-0.4970256110312507,-0.2593143337282863,0.5139430068934066,warm
187.886P,-0.222873250570374,0.011191290290036647,0.9028406967469882,0.9484746818074787,-2.3153151722613,fruity
187.892P,13.530158614128236,-1.6485679468691403,-1.1315615484655157,-4.022627578223058,-2.237000647296687,fruity
187.893P,-0.5863653417500997,-0.9593155710183371,0.2967916640964925,-1.0522693301756454,-0.12880851669038346,fruity
187.894P,2.5740329718348733,7.0910297818879915,17.043984066184738,2.9010697060469646,-14.59146035181566,fruity
187.895P,1.2734287310662054,0.10326909744231229,-0.9708519912720385,0.7776165757062828,-0.6932934165286927,fruity
187.896P,-0.05013440090687924,-1.0773546821846998,-0.5704960197293204,-0.14117569621232223,0.3326779225525378,fruity
187.897P,-0.7908154842223025,-0.7492198192951354,-0.46016322868793946,0.12206183986340895,0.19415324193959677,fruity
187.907,-1.1435766058064591,-0.6915734896466532,-0.5735317655143312,0.4431091016050513,0.2096736426387968,fruity
187.914P,-0.31684750237542403,-0.6836933114810375,-0.685968952605107,0.1895994699960222,0.005183835340880558,warm
187.916P,-1.473853498157339,-0.9147769366612932,-0.45764841398394995,0.252768459021153,0.3002827079531984,fruity
187.920P,6.183683809131065,-0.9934479413481478,0.9613117562418783,-6.5270025731926635,-2.6051151423923713,fruity
187.923P,-1.5216956259127754,-0.72606212369005,-0.29533495209226307,0.48581340705787546,0.0006974328045360332,fruity
188.118P,-1.085515175380326,-0.803578702637168,-0.03210508518254267,0.413460375076825,-0.2969745344084123,fruity
188.375P,-0.32454981062782723,-0.32832877389324755,0.6380458393721331,0.7583696914252064,-2.011760551957428,fruity
188.402P,-1.988404226968015,-0.8784229357200037,-0.49815242934985376,0.4397699568271048,0.32248487146945065,fruity
188.412P,-0.6062074137874625,-0.1644056042491331,1.279531191499653,-0.1333978858633235,-0.47656623707477397,fresh
188.462KHP,0.4707219169550038,-0.3842225747631645,1.3087470863651394,-1.5468166264388559,0.23052053399731315,fruity
188.481KHP,1.0962475928767637,-1.3670460956997335,-0.24246367451855372,-0.051487115040893754,0.3927034093238894,warm
188.491P,-0.49885338263043555,-0.6448118279021915,-0.22990271348414065,-0.22891876023510374,0.3428743589706795,fruity
188.560P,-1.1422332667485244,-0.8162765177739244,-0.42815724137121347,0.35297170468417977,0.3137484405091316,fruity
188.628P,0.6471081180180857,22.287810702252184,-7.37867892300278,-3.563910302283359,0.14546789187168557,fruity
188.639P,-1.1976123537121808,-0.9883407469044224,-0.42900354838001514,-1.340702285153392,-0.030306700913248556,warm
188.656P,-1.5148789794637123,-0.5766638798225793,-0.5319678265874003,0.4288594835471056,0.17781690303696937,warm
188.668P,0.2525714638087227,0.7518536472385277,-1.0563865722652586,0.13099707071721287,-1.320019028962748,warm
188.740P,-1.4857704448386735,-0.8829614742436585,0.10000621505502415,0.36459394004062046,0.7648699190222845,fruity
188.819,-2.3542598102058183,-0.7181934413434751,0.34229444526002306,0.7634870257540021,-1.01777045394766,fresh
188.820,-0.34916278307894244,-0.6545670060242889,0.20445291486569758,-0.12026693785899925,0.3021265447557642,fruity
188.822,0.45349728084725627,-0.705792739714807,-0.16535458423254926,-1.011850808178246,0.043660112227153325,fruity
188.866,-1.104208384976941,-0.6290348763637105,0.1631853540935481,0.3162826043747565,0.9035009540845083,fruity
188.894,0.10795378049919428,0.5980965708062085,-0.22719256685388803,-2.1808051865101437,-0.39679412944858056,fruity
188.976,1.2937794565499787,-0.6056958309606276,1.6379375410721138,-1.0531109360230937,0.33632164322751895,fruity
188.977,2.089966955863613,-1.133934763077325,-1.1691047527808704,0.36691545880741044,-2.0809674502712774,fruity
188.992,3.691572007732931,2.585189997402266,5.1972781900664,-2.54492238842757,3.037135656511433,fruity
189.012,-1.1138557588181088,-0.7627696108521207,-0.2414751471732131,0.534713624619691,0.0880279871459918,fruity
189.014,-1.1851544540246286,-0.899093309844611,-0.2573131466844717,-0.8765701316767952,0.20974734740732412,fresh
189.051,-0.38071761271143323,-0.9423449314965906,0.09736864579380507,-0.9533029354250742,0.026839314069586402,fruity
189.068,-0.7061620484353315,-0.26724263626280376,0.940673973557324,-0.16902028690333132,-1.448011652210068,fresh
189.075,3.1853593140933807,-0.09009423619044744,1.464754029319957,-1.4143868012385323,-1.173383717560576,fruity
