Rez.-Nr.,PC1,PC2,PC3,PC4,PC5,Mahal_dist
187.773P,-1.3339169660665442,1.5102069792517325,4.088842328858036,-0.10959213822946948,-1.5535522685519352,0.866
187.776,-1.8738238995240268,-0.6412636155222209,-0.4715163264734825,1.6763275634113919,-2.258315204006779,0.836
187.783P,-0.9133862849958106,-0.9995856953001888,0.260606959938789,-0.8673365050360382,0.6725647919949213,0.581
187.786P,0.9550353728675894,-0.5767321370127849,-1.6536575305770658,-0.4477833095888151,-0.41087429812376375,0.474
187.787P,-0.007018107282225429,-0.881063019096708,-0.655203010583435,0.1730032685825205,-0.6028946294711368,0.385
187.791P,1.98121108678863,-2.610334504870473,-0.9074286422188405,-0.668514255753063,-1.1350986969056684,1.412
187.799P,1.2487198939743054,1.1940066817257993,-1.7035695155194244,1.9093738479915159,-1.0112996336925932,0.74
187.800P,-1.401793519384603,-0.7684834019350222,-0.16127433831694463,0.383287015260425,-0.03852322569196653,0.678
187.826P,-1.7819290464699902,-0.686303249119879,-0.26865890423481,0.09222071040771743,-0.25720951906372497,0.807
187.829P,-0.8542469488784447,-0.6925031102902497,-0.9649423644503085,0.40722972838484417,-0.4525103669713386,0.47
187.834P,0.6812653377285519,-2.5721829398255136,-0.44402807031249536,0.22885512606085734,0.5757477816561645,1.159
187.843P,-1.0471799835307172,-0.42551555868864493,-1.0502997594553727,1.0981906097575165,-0.08597008445392659,0.478
187.870P,-0.9976131897588735,-0.2825667616744699,-0.11691354566225517,-0.06263957401106193,-0.6932403908028016,0.437
187.885P,-0.882352709260111,-1.3459663854624935,2.2731666834842468,0.6088993291395195,1.085815366089153,0.695
187.886P,-1.0979615038715216,-1.6455769637018411,-0.5272531585656766,-0.0657069334653515,-0.3187426336049045,0.854
187.892P,7.546928678872525,-2.3284559785397407,5.674591969996436,-9.255670735265419,7.814325047906384,3.332
187.895P,-1.4693661688807818,-2.181626453448998,0.9378772739205055,1.8176684515492518,1.4749514126688466,1.136
187.896P,-0.6349087244627879,-0.9047792242983776,0.13321666554973027,-0.5982445439193151,-0.6279845083788294,0.477
187.897P,2.8020235135774896,-0.25098876522559965,0.9709267975363807,-2.2877166992316367,0.8188725243292271,1.183
187.907,-1.6072006477662961,-0.6636156582390286,-0.27597681774438665,0.06938563258553807,-0.271043619879282,0.735
187.914P,0.20279904319548103,-1.2046194181062064,-1.0682837606217195,-0.021234519685861875,-1.041756027956681,0.533
187.916P,-1.4042880235428703,-0.7491472527435274,-0.2004322792672501,0.32871985480885785,-0.09333285954702754,0.675
187.920P,-0.25966122005666364,1.8554077253856471,6.6955074511396,-2.70713891179306,-0.31929992391852813,0.818
187.923P,2.3668309301584145,-2.9722672090218176,-2.218780792808908,-0.8035339752060844,-1.8400894230465386,1.636
188.118P,1.3638499060050109,-0.4559823198770231,-0.28658458895026634,-1.0172139200447734,-0.07619301722485765,0.607
188.375P,-0.823045381511466,-1.6615363808772263,-0.8866825321743633,-0.3841704576217319,-0.9734726894430749,0.804
188.402P,-1.7807482855933103,-0.6865399503412543,-0.2692689449791207,0.09184010842547057,-0.2574372625223623,0.806
188.412P,3.3646765611440896,4.804370456354294,-4.751269462548173,4.466025263483114,2.8748455559080943,2.531
188.481KHP,-1.7628735704807326,-3.060370851556949,5.2864413879347145,9.375412019525527,9.175503105313728,1.528
188.491P,0.1194957047308969,0.34831706218743874,-0.2063192126993802,0.30839039134507273,-0.7044984023637345,0.16
188.560P,0.9088718187483316,-0.5262098370070694,-0.46810762786784943,0.10532765671777791,0.38337187947554946,0.446
188.639P,-2.596890294029021,-2.2218101525026133,5.122005636517051,2.1282955468335167,-0.34790923121737743,1.461
188.656P,-1.1410971712135398,-0.6098702079301899,-0.4935955571848477,-0.014599274072637268,-0.4220822778300098,0.549
188.668P,-1.0618847223884025,-1.2252315832959446,0.19611499171836708,-0.1030451884856618,-0.5754009061537818,0.697
188.740P,2.0016321814589055,-1.5907334956806354,4.34094065907388,4.946769731374532,3.433605593922728,1.091
188.820,1.0564820506668244,1.5719967626888385,-0.006526134403069348,0.9967044712700572,0.11652131686843281,0.818
188.822,-0.3875124165939085,0.4410265409758941,0.2643611259856565,-0.1002746490939675,-0.8989770493429239,0.252
188.866,-2.1027211080603236,-0.6776337937269884,-0.5020515049797949,0.2530071328862325,-0.8007241658658905,0.932
188.894,-1.028343503863209,2.669646340986266,4.974350250928548,-1.3425788270492114,-1.5068271743563688,1.244
188.976,1.4681130529320006,2.6725763591392,-1.4632075377414564,2.3894844103531376,0.12617767027076254,1.32
189.012,1.4005299383485672,1.9613338777851317,-3.7897780669562238,1.6795996859656643,-0.9761417592129544,1.04
189.014,-1.8139992094526045,1.3529898707440557,-0.311662806685261,-0.29241959342679985,-0.548864734180706,0.965
189.068,-1.6505764254625783,-0.45146286358223814,-0.3090040105016146,0.33252408287648944,-0.37943693148293267,0.721
189.075,1.1082715657209814,0.23696050195154308,0.03972549510141276,0.3614619474439489,-0.8834167870801535,0.477
