CAS,Ingredient,Frequency,Recipes_Count,Avg_Norm_When_Present,Avg_Norm_All_Recipes
112-14-1,"Octylacetat, natürlich",0.0115,1,0.001024,1.2e-05
111-13-7,2-Octanon Halal,0.0115,1,0.001896,2.2e-05
98-85-1,Styralylalkohol Halal,0.0115,1,0.0003,3e-06
10032-15-2,Hexyl-2-methylbutyrat Halal Kosher,0.0115,1,9.9e-05,1e-06
91722-21-3,Stevia-Aroma (FMP; 4% Reb A; MD) Halal,0.0115,1,0.095477,0.001097
106-70-7,Methylhexanoat,0.0115,1,0.004605,5.3e-05
4166-20-5,Furaneolacetat Halal Kosher,0.0115,1,0.002269,2.6e-05
106-22-9,"Citronellol, natürlich Kosher, Halal",0.0115,1,0.000227,3e-06
10544-63-5,Ethyl-trans-2-crotonat,0.0115,1,8.9e-05,1e-06
105-66-8,Propylbutyrat Kosher,0.0115,1,0.001278,1.5e-05
105-53-3,Diethylmalonat Halal Kosher,0.0115,1,0.000264,3e-06
8008-56-8,Zitronen-Öl italienisch Kosher Halal,0.0115,1,0.002344,2.7e-05
8016-26-0,Labdanum Absolue Halal,0.0115,1,0.002675,3.1e-05
8016-38-4,Neroli-Öl Tunisien,0.0115,1,0.000119,1e-06
8031-03-6,Mimosa-Absolue,0.0115,1,2.9e-05,0.0
103-41-3,Benzylcinnamat Halal,0.0115,1,0.002549,2.9e-05
71-23-8,Propanol Halal,0.0115,1,0.008009,9.2e-05
110-39-4,"Octylbutyrat, natürlich",0.0115,1,8.2e-05,1e-06
141-97-9,Ethylacetoacetat Halal,0.0115,1,0.074752,0.000859
33467-74-2,cis-3-Hexenylpropionat,0.0115,1,0.002789,3.2e-05
1365-19-1,"Linalooloxid, natürlich Halal",0.0115,1,0.000426,5e-06
13532-18-8,Methyl-3-(methylthio)propionat,0.0115,1,0.009451,0.000109
25152-84-5 ,"trans,trans-2,4-Decadienal Halal",0.0115,1,8e-06,0.0
2639-63-6,Hexylbutyrat Halal Kosher,0.0115,1,8.5e-05,1e-06
14901-07-6,beta-Ionon Halal Kosher,0.0115,1,3.7e-05,0.0
14667-55-1,"2,3,5-Trimethylpyrazin, natürlich Halal",0.0,0,,0.0
20702-77-6,Neohesperidindihydrochalcon FMP Halal,0.0,0,,0.0
104-21-2,Anisylacetat Halal,0.0,0,,0.0
104-55-2,Zimtaldehyd (trans) Halal,0.0,0,,0.0
8008-57-9,Orangen-Öl terpenfrei Halal,0.0,0,,0.0
141-12-8,Nerylacetat Halal,0.0,0,,0.0
8008-45-5,Muskatnuss-Öl Terpenfrei,0.0,0,,0.0
8007-80-5,Zimtkassie-Öl,0.0,0,,0.0
8006-81-3,Ylang-Öl VOP,0.0,0,,0.0
8002-73-1,"Iris-Absolue, ca. 70% Iron Kosher Halal",0.0,0,,0.0
8000-34-8,"Nelkenknospen-Öl, Typ Rosine",0.0,0,,0.0
800-90-4,"Pfefferminz-Öl (Mentha piperita), Terpenfrei",0.0,0,,0.0
80-71-7,"Cycloten, natürlich Halal",0.0,0,,0.0
79-69-6,alpha-Iron,0.0,0,,0.0
79-31-2,"Isobuttersäure, natürlich Halal Kosher",0.0,0,,0.0
104-61-0,gamma-Nonalacton Halal Kosher,0.0,0,,0.0
78-93-3,"Methylethylketon, natürlich",0.0,0,,0.0
105-21-5,gamma-Heptalacton Halal,0.0,0,,0.0
2497-18-9,trans-2-Hexenylacetat Kosher Halal,0.0,0,,0.0
7786-61-0,"4-Vinylguajacol 1% in PG, natürlich",0.0,0,,0.0
24817-51-4,Phenethyl-2-methylbutyrat Halal,0.0,0,,0.0
2445-78-5,2-Methylbutyl-2-methylbutyrat,0.0,0,,0.0
97-53-0,Eugenol Halal,0.0,0,,0.0
101-97-3,"Ethylphenylacetat, natürlich Halal",0.0,0,,0.0
96-48-0,"gamma-Butyrolacton, natürlich",0.0,0,,0.0
102-19-2,"Isoamylphenylacetat, natürlich",0.0,0,,0.0
93-89-0,Ethylbenzoat,0.0,0,,0.0
93-58-3,Methylbenzoat Halal,0.0,0,,0.0
93-28-7,"Eugenylacetat, natürlich",0.0,0,,0.0
23696-85-7,"beta-Damascenon, natürlich Kosher Halal",0.0,0,,0.0
23726-92-3,beta-Damascon Halal,0.0,0,,0.0
90063-52-8,Limetten-Öl destilliert terpenfrei Halal,0.0,0,,0.0
14400-67-0,"Mango furanon, natürlich",0.0,0,,0.0
104-20-1,Himbeerketonmethylether Halal,0.0,0,,0.0
90045-28-6,Wintergrün-Öl China,0.0,0,,0.0
89-78-1,"L-Menthol ex Minze, natürlich Halal",0.0,0,,0.0
87-44-5,"beta-Caryophyllen, natürlich Halal",0.0,0,,0.0
103-45-7,Phenethylacetat Halal Kosher,0.0,0,,0.0
103-54-8,Cinnamylacetat,0.0,0,,0.0
84650-60-2,Schwarztee Treattarome 9761 Halal,0.0,0,,0.0
821-55-6,"2-Nonanon, natürlich Halal",0.0,0,,0.0
10032-13-0,Hexylisovalerat Halal Kosher,0.0,0,,0.0
4077-47-8,"Mesifuran, natürlich",0.0,0,,0.0
2719-08-6,Acetyl N-methylanthranilat,0.0,0,,0.0
105-68-0,Isoamylpropionat Halal Kosher,0.0,0,,0.0
54814-64-1,"Massoialacton, natürlich Halal",0.0,0,,0.0
1192-62-7,"2-Acetylfuran, natürlich",0.0,0,,0.0
3301-94-8,delta-Nonalacton,0.0,0,,0.0
120-51-4,Benzylbenzoat Halal,0.0,0,,0.0
13419-69-7,trans-2-Hexensäure Kosher Halal,0.0,0,,0.0
61931-81-5,cis-3-Hexenyllactat Halal,0.0,0,,0.0
127-41-3,alpha-Ionon Halal Kosher,0.0,0,,0.0
60-12-8,Phenethylalkohol Halal,0.0,0,,0.0
122-78-1,"Phenylacetaldehyd 10% in Triacetin, natürlich Halal",0.0,0,,0.0
586-62-9,"Terpinolen, natürlich Halal",0.0,0,,0.0
122-78-1 /  64-17-5,"Phenylacetaldehyd 10% in Ethanol, natürlich",0.0,0,,0.0
38462-22-5,"Thiomenthon, natürlich Halal",0.0,0,,0.0
3390-12-3,Acetaldehyd PG acetal,0.0,0,,0.0
539-90-2,Isobutylbutyrat Kosher Halal,0.0,0,,0.0
123-11-5,Anisaldehyd Halal,0.0,0,,0.0
124-19-6,"Nonanal, natürlich Halal",0.0,0,,0.0
123-35-3,"Myrcen, natürlich Halal BG V",0.0,0,,0.0
51115-64-1,2-Methylbutylbutyrat,0.0,0,,0.0
123-38-6,Propionaldehyd Kosher Halal,0.0,0,,0.0
124-13-0,Octanal Halal,0.0,0,,0.0
123-68-2,"Allylhexanoat, natürlich Halal",0.0,0,,0.0
624-92-0,"Dimethyldisulfid, natürlich Halal, V",0.0,0,,0.0
119-84-6,"Dihydrocoumarin, natürlich Kosher Halal, BG",0.0,0,,0.0
626-82-4,Butylhexanoat Halal,0.0,0,,0.0
112-12-9,"2-Undecanon, natürlich Halal",0.0,0,,0.0
7212-44-4,Nerolidol,0.0,0,,0.0
106-24-1,Geraniol Halal Kosher,0.0,0,,0.0
710-04-3,delta-Undecalacton Halal Kosher,0.0,0,,0.0
71-36-3,"Butanol, natürlich Halal",0.0,0,,0.0
27538-09-6 ,Ethylfuraneol Kosher Halal,0.0,0,,0.0
106-25-2,Nerol Halal Kosher,0.0,0,,0.0
106-33-2,"Ethyllaurat, natürlich Kosher Halal",0.0,0,,0.0
140-10-3,"Zimtsäure, natürlich",0.0,0,,0.0
698-76-0,delta-Octalacton,0.0,0,,0.0
137-32-6,"2-Methyl-1-butanol, natürlich Kosher Halal",0.0,0,,0.0
107-87-9,"2-Pentanon, natürlich Halal",0.0,0,,0.0
28664-35-9,Sotolon Halal,0.0,0,,0.0
109-60-4,Propylacetat,0.0,0,,0.0
67-68-5,Dimethylsulfoxid Halal Kosher,0.0,0,,0.0
110-38-3,Ethyldecanoat Halal,0.0,0,,0.0
15679-12-6,"2-Ethyl-4-methylthiazol, natürlich",0.0,0,,0.0
3025-30-7,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal",0.0,0,,0.0
110-93-0,"Methylheptenon, natürlich Kosher; Halal V;",0.0,0,,0.0
112-05-0,Nonansäure,0.0,0,,0.0
1632-73-1,Fenchol Halal,0.0,0,,0.0
