Stamm-Nr.,Rez.-Nr.,R-Nummer,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),Threshold 2 ppm (Datenbank),Treshold 3 ppm (Datenbank),,
29201891,187.796P,R01613,60030154,Ethylbutyrat Kosher Halal,0.0205530000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29202868,188.740P,R01613,60030154,Ethylbutyrat Kosher Halal,0.0028000000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
RE00429_A02,185.028,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0011637500,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
RE00171_A01,185.091,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0055000000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29200047,185.267,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0118940000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29200716,185.382P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0019500000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
RE00734_A01,185.471,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0546930000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29201231,185.507P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0145850000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29201573,187.507P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0095450000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29201733,187.657P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0203050000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29201874,187.787P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0306390000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29201895,187.800P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0035410000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29201953,187.886P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0383850000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29201969,187.894P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0252390000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29202004,187.916P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0035410000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29202513,188.412P,R01903,60030376,"Ethylbutyrat, natürlich Kosher Halal BG",0.0071910000,105-54-4,fruity,juicy,pineapple,cognac,fruity,fresh,warm,"0,1",,,,
29201008,185.090P,R01498,60030042,Acetal Halal Kosher,0.0000300000,105-57-7,ethereal,green,nutty,earthy,fresh,green,,"0,1",,,,
29201778,187.694P,R01498,60030042,Acetal Halal,0.0000600000,105-57-7,ethereal,green,nutty,earthy,fresh,green,,"0,1",,,,
29201953,187.886P,R01971,60030424,"Acetal, natürlich Halal BG V",0.0000650000,105-57-7,ethereal,green,nutty,earthy,fresh,green,,"0,1",,,,
29201969,187.894P,R01971,60030424,"Acetal, natürlich Halal BG V",0.0002850000,105-57-7,ethereal,green,nutty,earthy,fresh,green,,"0,1",,,,
RE00429_A02,185.028,R01964,60030417,"delta-Decalacton, natürlich Halal, BG",0.0000386750,105-86-2,oily,coconut,fruity,peach,warm,fruity,,"0,1",,,,
29202868,188.740P,R01675,60030215,Isoamylbutyrat Halal Kosher,0.0007200000,106-27-4,fruity,green,apricot,pear,fruity,fresh,green,"0,666666667",,,,
29200716,185.382P,R02047,60030492,"Isoamylbutyrat, natürlich Halal Kosher",0.0005880000,106-27-4,fruity,green,apricot,pear,fruity,fresh,green,"0,666666667",,,,
29201895,187.800P,R02047,60030492,"Isoamylbutyrat, natürlich Halal Kosher",0.0005600000,106-27-4,fruity,green,apricot,pear,fruity,fresh,green,"0,666666667",,,,
29202004,187.916P,R02047,60030492,"Isoamylbutyrat, natürlich Halal Kosher",0.0005600000,106-27-4,fruity,green,apricot,pear,fruity,fresh,green,"0,666666667",,,,
29200533,186.190P,R01617,60030158,Ethylheptanoat Halal Kosher,0.0000080000,106-30-9,fruity,pineapple,cognac,rum,fruity,fresh,exotic,"0,066666667",,,,
RE00171_A01,185.091,R02033,60030480,"Ethylheptanoat, natürlich Halal",0.0001200000,106-30-9,fruity,pineapple,cognac,rum,fruity,fresh,exotic,"0,066666667",,,,
29200034,185.294,R01626,60030167,Ethyloctanoat Halal Kosher,0.0006850000,106-32-1,waxy,fruity,wine,apricot,fruity,fresh,exotic,"0,5",,,,
RE00429_A02,185.028,R02038,60030483,"Ethyloctanoat, natürlich Kosher Halal, V",0.0000257075,106-32-1,waxy,fruity,wine,apricot,fruity,fresh,exotic,"0,5",,,,
29201231,185.507P,R02038,60030483,"Ethyloctanoat, natürlich Kosher Halal, V",0.0004080000,106-32-1,waxy,fruity,wine,apricot,fruity,fresh,exotic,"0,5",,,,
29201969,187.894P,R02038,60030483,"Ethyloctanoat, natürlich Kosher Halal, V",0.0004930000,106-32-1,waxy,fruity,wine,apricot,fruity,fresh,exotic,"0,5",,,,
29202513,188.412P,R02038,60030483,"Ethyloctanoat, natürlich Kosher Halal, V",0.0009280000,106-32-1,waxy,fruity,wine,apricot,fruity,fresh,exotic,"0,5",,,,
29201969,187.894P,R02040,60030485,"Ethyllaurat, natürlich Kosher Halal",0.0000870000,106-33-2,waxy,floral,soapy,,fruity,fresh,balsamic,"0,1",,,,
29202868,188.740P,R01727,60030267,Methylhexanoat,0.0001200000,106-70-7,fruity,pineapple,etheral,,fruity,fresh,,"0,1",,,,
RE00429_A02,185.028,R01968,60030421,"Methylhexanoat, natürlich Halal",0.0000100100,106-70-7,fruity,pineapple,etheral,,fruity,fresh,exotic,"0,1",,,,
29201231,185.507P,R01968,60030421,"Methylhexanoat, natürlich Halal",0.0000020000,106-70-7,fruity,pineapple,etheral,,fruity,fresh,exotic,"0,1",,,,
29201733,187.657P,R02249,60030607_+K+,"Melonal, natürlich Kosher Halal",0.0000050000,106-72-9,melon,watermelon,cucumber,green,green,fresh,warm,0.006666667,,,,
29201231,185.507P,R02070,60030506,"2-Pentanon, natürlich Halal",0.0000680000,107-87-9,fruity,etheral,wine,banana,fresh,warm,fruity,2,,,,
RE00429_A02,185.028,R01553,60030095,"butterysäure, natürlich Kosher Halal",0.0004287500,107-92-6,cheesy,acidic,buttery,fruit,unpleasant,fruity,,5,,,,
