Einzelwerte / Material,,,,,,,
,,,,,,,Benutzer: Petka Jan
Auswahl: CAS,,,,,,,Datum: 27.01.2026 13:22:00
,,,,,,,
"Bearbeitungsstatus: Freigabe zur Entwicklung/Bemusterung, Produktion/freigegeben",,,,,,,
"Lenkungsstatus: , freigegeben",,,,,,,
Abteilung/Sortiment: Abteilung,,,,,,,
Art/Gebiet/Bereich: Rohwaren,,,,,,,
"Werke:RohwarenAustria Juice Bingen, Austria Juice Krdf.",,,,,,,
,,,,,,,
Alle Regeln treffen zu:,,,,,,,
Attribute - Bezeichnung gleich CAS-Nr.:; Hinweis 1 nicht wie ,,,,,,,
,,,,,,,
Stamm-Nr.,Stammbezeichnung,Ident.,Vers.,Int. Id.,Partner,CAS-Nr.: - Hinweis 1,
60030063,Amylbutyrat,R01519,003,R01519,Austria Juice,540-18-1,
60030064,trans-Anethol,R01520,005,R01520,Austria Juice,4180-23-8,
60030067_+K+,Benzaldehyd Kosher Halal,R01524,010,R01524,Austria Juice,100-52-7,
60030068,Benzophenon,R01525,002,R01525,Austria Juice,119-61-9,
60030069,Benzylacetat Halal Kosher,R01526,007,R01526,Austria Juice,140-11-4,
60030070,Benzylalkohol Halal Kosher,R01527,010,R01527,Austria Juice,100-51-6,
60030071,"Benzylbenzoat, natürlich Halal",R01528,009,R01528,Austria Juice,120-51-4,
60030072,"Benzylbutyrat, natürlich",R01529,006,R01529,Austria Juice,103-37-7,
60030073,beta-Caryophyllen Halal Kosher,R01530,006,R01530,Austria Juice,87-44-5,
60030076_+K+,beta-Damascon Halal Kosher,R01534,008,R01534,Austria Juice,23726-92-3,
60030078_+K+,"beta-Ionon, natürlich Kosher Halal",R01536,012,R01536,Austria Juice,14901-07-6,
60030080,beta-Pinen Halal,R01538,004,R01538,Austria Juice,127-91-3,
60030081_+K+_,"Bisabolen (Extrakt, ca. 70%) Halal",R01539,006,R01539,Austria Juice,"84929-31-7	",
60030082,Borneol,R01540,008,R01540,Austria Juice,507-70-0,
60030083,Bornylacetat/Isobornylacetat,R01541,002,R01541,Austria Juice,76-49-3,
60030084_+K+,Butyraldehyd,R01542,005,R01542,Austria Juice,123-72-8,
60030085,Butanol Kosher Halal,R01543,006,R01543,Austria Juice,71-36-3,
60030086,Butyl-2-methylbutyrat Halal Kosher,R01544,005,R01544,Austria Juice,15706-73-7,
60030087,"Butylacetat, natürlich Kosher Halal BG",R01545,013,R01545,Austria Juice,123-86-4,
60030088,Butylbutyrat Halal Kosher,R01546,006,R01546,Austria Juice,109-21-7,
60030089,Butylhexanoat Halal,R01547,005,R01547,Austria Juice,626-82-4,
60030090,Butylisobutyrat Halal,R01548,006,R01548,Austria Juice,97-87-0,
60030091,Butylisovalerat Halal Kosher,R01549,005,R01549,Austria Juice,109-19-3,
60030092,Butylpropionat Halal,R01550,006,R01550,Austria Juice,590-01-2,
60030095,"Buttersäure, natürlich Kosher Halal",R01553,011,R01553,Austria Juice,107-92-6,
60030097,D-Kampfer Halal,R01555,006,R01555,Austria Juice,464-49-3,
60030099,Carvacrol,R01557,004,R01557,Austria Juice,499-75-2,
60030100,p-Cymen-8-ol,R01558,003,R01558,Austria Juice,1197-01-9,
60030101_+K+,"Zimtaldehyd, natürlich Halal Kosher",R01559,008,R01559,Austria Juice,104-55-2,
60030102,Zimtsäure,R01560,004,R01560,Austria Juice,621-82-9,
60030103,Cinnamylacetat,R01561,005,R01561,Austria Juice,103-54-8,
60030576,Zimtalkohol,R01562,006,R01562,Austria Juice,104-54-1,
60030105,cis-3-Hexen-1-ol Halal Kosher,R01563,009,R01563,Austria Juice,928-96-1,
60030106,cis-3-Hexenylbutyrat Halal Kosher,R01564,007,R01564,Austria Juice,16491-36-4,
60030107,cis-3-Hexenylpropionat Halal Kosher,R01565,007,R01565,Austria Juice,33467-74-2,
60030108,cis-3-Hexenylacetat Halal Kosher,R01566,011,R01566,Austria Juice,3681-71-8,
60030109,cis-3-Hexenyllactat Halal,R01567,008,R01567,Austria Juice,61931-81-5,
60030110_+K+,cis-6-Nonen-1-ol Halal,R01568,006,R01568,Austria Juice,35854-86-5,
60030111,cis-Jasmon Halal Kosher,R01569,006,R01569,Austria Juice,488-10-8,
60030112_+ZK+,Citral Halal,R01570,006,R01570,Austria Juice,5392-40-5,
60030113,Citronellal,R01571,004,R01571,Austria Juice,106-23-0,
