Rez.-Nr.,Ident,ERP-Nr.,Name,Totalmenge,Richtdosierung in g/l,CAS-Nr.,Odour-Type 1,Odour-Type 2,Odour-Type 3,Threshold
187.746P,R02038,60030483,"Ethyloctanoat, natürlich Kosher Halal, V","1,8E-5","1,000",106-32-1,fruity,fresh,exotic,"0,5"
187.894P,R02038,60030483,"Ethyloctanoat, natürlich Kosher Halal, V","0,000493","0,250",106-32-1,fruity,fresh,exotic,"0,5"
188.412P,R02038,60030483,"Ethyloctanoat, natürlich Kosher Halal, V","0,000928","0,400",106-32-1,fruity,fresh,exotic,"0,5"
186.985P,R01917,60030389,"Ethylphenylacetat, natürlich Halal","4,7E-5","1,200",101-97-3,floral,warm,,
185.090P,R01628,60030169,Ethylpropionat Halal,6E-5,"0,900",105-37-3,fruity,fresh,,"0,1"
185.514,R01628,60030169,Ethylpropionat Halal,"4,5E-5","0,250",105-37-3,fruity,fresh,,"0,1"
187.892P,R01628,60030169,Ethylpropionat Halal,"0,000511","0,200",105-37-3,fruity,fresh,,"0,1"
187.893P,R01628,60030169,Ethylpropionat Halal,"0,001201","2,300",105-37-3,fruity,fresh,,"0,1"
187.920P,R01628,60030169,Ethylpropionat Halal Kosher,"1,4E-5","0,200",105-37-3,fruity,fresh,,"0,1"
188.462KHP,R01628,60030169,Ethylpropionat Halal Kosher,"0,0016","0,700",105-37-3,fruity,fresh,,"0,1"
189.051,R01628,60030169,Ethylpropionat Halal Kosher,0.000048,0.2,105-37-3,fruity,fresh,,"0,1"
185.578P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","0,00033","0,120",105-37-3,fruity,fresh,,"0,1"
187.783P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","0,001121","2,500",105-37-3,fruity,fresh,,"0,1"
187.787P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","0,001003","0,200",105-37-3,fruity,fresh,,"0,1"
187.834P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","0,01184","0,700",105-37-3,fruity,fresh,,"0,1"
187.843P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","0,001549","0,600",105-37-3,fruity,fresh,,"0,1"
187.894P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","0,000997","0,250",105-37-3,fruity,fresh,,"0,1"
187.895P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","0,00013","0,120",105-37-3,fruity,fresh,,"0,1"
187.914P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","7,5E-5","0,700",105-37-3,fruity,fresh,,"0,1"
187.923P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","0,000409","0,500",105-37-3,fruity,fresh,,"0,1"
188.375P,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal","0,000894","0,600",105-37-3,fruity,fresh,,"0,1"
185.133,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal",0.000001,1,105-37-3,fruity,fresh,,"0,1"
186.821,R01947,60030404,"Ethylpropionat, natürlich Kosher Halal",0.00000148,1,105-37-3,fruity,fresh,,"0,1"
185.028,R01966,60030419_+K+,"Ethylpyruvat, natürlich","3,29875E-5","0,400",617-35-6,fresh,fruity,,10
185.043P,R01966,60030419_+K+,"Ethylpyruvat, natürlich",9E-6,"0,800",617-35-6,fresh,fruity,,10
187.886P,R01966,60030419_+K+,"Ethylpyruvat, natürlich","0,000333","0,350",617-35-6,fresh,fruity,,10
187.894P,R01966,60030419_+K+,"Ethylpyruvat, natürlich","0,000552","0,250",617-35-6,fresh,fruity,,10
188.819,R01966,60030419_+K+,"Ethylpyruvat, natürlich",0.000009,"0,3",617-35-6,fresh,fruity,,10
185.044,R01966,60030419_+K+,"Ethylpyruvat, natürlich",0.000009,0.3,617-35-6,fresh,fruity,,10
185.028,R01981,60030434_+K+,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal",7E-5,"0,400",3025-30-7,fruity,warm,,"0,05"
185.043P,R01981,60030434_+K+,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal","9,2E-5","0,800",3025-30-7,fruity,warm,,"0,05"
188.819,R01981,60030434_+K+,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal Kosher",0.000092,"0,3",3025-30-7,fruity,warm,,"0,05"
185.044,R01981,60030434_+K+,"Ethyl-trans,cis-2,4-decadienoat, natürlich Halal Kosher",0.000092,0.3,3025-30-7,fruity,warm,,"0,05"
185.309P,R01630,60030171,Ethyl-trans-2-crotonat,3E-5,"0,500",10544-63-5,fresh,fruity,unpleasant,3
185.748P,R01630,60030171,Ethyl-trans-2-crotonat,"0,002032","0,100",10544-63-5,fresh,fruity,unpleasant,3
186.190P,R01630,60030171,Ethyl-trans-2-crotonat,8E-6,"0,300",10544-63-5,fresh,fruity,unpleasant,3
187.796P,R01630,60030171,Ethyl-trans-2-crotonat,"9,5E-5","0,150",10544-63-5,fresh,fruity,unpleasant,3
185.091,R02063,60030499,"Ethyl-trans-2-crotonat, natürlich Halal","0,00012","0,500",623-70-1,unpleasant,fresh,alliaceous,
185.178HP,R02063,60030499,"Ethyl-trans-2-crotonat, natürlich Halal","0,00012","0,300",623-70-1,unpleasant,fresh,alliaceous,
185.621P,R01631,60030172,Ethylvalerat,"9,3E-5","0,200",539-82-2,fruity,green,,"0,5"
185.644P,R01631,60030172,Ethylvalerat,"0,000102","0,180",539-82-2,fruity,green,,"0,5"
185.748P,R01631,60030172,Ethylvalerat,"0,011282","0,100",539-82-2,fruity,green,,"0,5"
187.773P,R01631,60030172,Ethylvalerat,"0,00628","0,800",539-82-2,fruity,green,,"0,5"
187.796P,R01631,60030172,Ethylvalerat,"0,005574","0,150",539-82-2,fruity,green,,"0,5"
187.885P,R01631,60030172,Ethylvalerat,"1,1E-5","0,900",539-82-2,fruity,green,,"0,5"
187.896P,R01631,60030172,Ethylvalerat,"0,000701","0,250",539-82-2,fruity,green,,"0,5"
187.897P,R01631,60030172,Ethylvalerat,"1,7E-5","0,350",539-82-2,fruity,green,,"0,5"
185.309P,R01634,60030175,Eugenol Halal,"2,3E-5","0,500",97-53-0,woody,warm,,"0,5"
185.339P,R01921,60030393,"Eugenol, natürlich Kosher Halal",3E-7,"1,000",97-53-0,woody,warm,,"0,5"
185.507P,R01921,60030393,"Eugenol, natürlich Kosher Halal",3E-6,"0,300",97-53-0,woody,warm,,"0,5"
185.796P,R01921,60030393,"Eugenol, natürlich Kosher Halal",2E-6,"0,860",97-53-0,woody,warm,,"0,5"
186.179P,R01921,60030393,"Eugenol, natürlich Kosher Halal",3E-6,"0,400",97-53-0,woody,warm,,"0,5"
187.004P,R01921,60030393,"Eugenol, natürlich Kosher Halal","0,003757","0,200",97-53-0,woody,warm,,"0,5"
187.772,R01921,60030393,"Eugenol, natürlich Kosher Halal",0.001701,0.2,97-53-0,woody,warm,,"0,5"
187.772,R05458,60030838,"Eugenylacetat, natürlich",0.000207,0.2,93-28-7,woody,warm,,
186.950P,R01636,60030177_+K+,Fenchol Halal,"0,00016","1,000",1632-73-1,fresh,woody,balsamic,"0,05"
187.694P,R01636,60030177_+K+,Fenchol Halal,"0,0001","0,400",1632-73-1,fresh,woody,balsamic,"0,05"
187.695P,R01636,60030177_+K+,Fenchol Halal,"5,7E-5","0,750",1632-73-1,fresh,woody,balsamic,"0,05"
185.675P,R01638,60030179,Fraiston Halal Kosher,"9,4E-5","0,600",6290-17-1,fresh,fruity,green,1
188.462KHP,R01638,60030179,Fraiston Halal Kosher,"0,00072","0,700",6290-17-1,fresh,fruity,green,1
188.976,R01638,60030179,Fraiston Halal Kosher,0.002596,0.5,6290-17-1,fresh,fruity,green,1
185.046,R02032,60030479_+K+,Furaneol Halal,"0,0045","0,600",3658-77-3,warm,fruity,,"0,1"
185.090P,R02032,60030479_+K+,Furaneol Halal,"0,000603","0,900",3658-77-3,warm,fruity,,"0,1"
185.239,R02032,60030479_+K+,Furaneol Halal,"0,02475","0,200",3658-77-3,warm,fruity,,"0,1"
185.309P,R02032,60030479_+K+,Furaneol Halal,"7,35E-5","0,500",3658-77-3,warm,fruity,,"0,1"
185.321,R02032,60030479_+K+,Furaneol Halal,"0,006","0,300",3658-77-3,warm,fruity,,"0,1"
185.615,R02032,60030479_+K+,Furaneol Halal,"0,00928665","0,150",3658-77-3,warm,fruity,,"0,1"
185.621P,R02032,60030479_+K+,Furaneol Halal,"0,03265425","0,200",3658-77-3,warm,fruity,,"0,1"
185.644P,R02032,60030479_+K+,Furaneol Halal,"0,03036675","0,180",3658-77-3,warm,fruity,,"0,1"
185.741P,R02032,60030479_+K+,Furaneol Halal,"0,0210375","1,000",3658-77-3,warm,fruity,,"0,1"
186.190P,R02032,60030479_+K+,Furaneol Halal,"0,0010698","0,300",3658-77-3,warm,fruity,,"0,1"
186.277P,R02032,60030479_+K+,Furaneol Halal,"0,011325","0,500",3658-77-3,warm,fruity,,"0,1"
186.490P,R02032,60030479_+K+,Furaneol Halal,"0,01189995","0,500",3658-77-3,warm,fruity,,"0,1"
187.519P,R02032,60030479_+K+,Furaneol Halal,"0,0002724","0,400",3658-77-3,warm,fruity,,"0,1"
187.522P,R02032,60030479_+K+,Furaneol Halal,"0,0118497","0,500",3658-77-3,warm,fruity,,"0,1"
187.567P,R02032,60030479_+K+,Furaneol Halal,"0,02497275","0,200",3658-77-3,warm,fruity,,"0,1"
187.608P,R02032,60030479_+K+,Furaneol Halal,"0,0330357","0,200",3658-77-3,warm,fruity,,"0,1"
187.662P,R02032,60030479_+K+,Furaneol Halal,"0,1192992","0,500",3658-77-3,warm,fruity,,"0,1"
187.694P,R02032,60030479_+K+,Furaneol Halal,"0,0186273","0,400",3658-77-3,warm,fruity,,"0,1"
187.695P,R02032,60030479_+K+,Furaneol Halal,"0,0130038","0,750",3658-77-3,warm,fruity,,"0,1"
187.752P,R02032,60030479_+K+,Furaneol Halal,"0,02570445","0,170",3658-77-3,warm,fruity,,"0,1"
187.753P,R02032,60030479_+K+,Furaneol Halal,"0,02570445","0,170",3658-77-3,warm,fruity,,"0,1"
187.870P,R02032,60030479_+K+,Furaneol Halal,"0,00400395","1,000",3658-77-3,warm,fruity,,"0,1"
187.871P,R02032,60030479_+K+,Furaneol Halal,"0,0091584","1,000",3658-77-3,warm,fruity,,"0,1"
187.885P,R02032,60030479_+K+,Furaneol Halal,"0,0042429","0,900",3658-77-3,warm,fruity,,"0,1"
187.893P,R02032,60030479_+K+,Furaneol Halal,"0,03147015","2,300",3658-77-3,warm,fruity,,"0,1"
187.897P,R02032,60030479_+K+,Furaneol Halal,"0,00459405","0,350",3658-77-3,warm,fruity,,"0,1"
188.118P,R02032,60030479_+K+,Furaneol Halal,"0,00075","0,250",3658-77-3,warm,fruity,,"0,1"
185.237H,R02032,60030479_+K+,Furaneol Halal Kosher,"0,011325","0,500",3658-77-3,warm,fruity,,"0,1"
185.675P,R02032,60030479_+K+,Furaneol Halal Kosher,"0,0105","0,600",3658-77-3,warm,fruity,,"0,1"
186.950P,R02032,60030479_+K+,Furaneol Halal Kosher,"0,003375","1,000",3658-77-3,warm,fruity,,"0,1"
187.015P,R02032,60030479_+K+,Furaneol Halal Kosher,"0,00975","0,350",3658-77-3,warm,fruity,,"0,1"
187.061P,R02032,60030479_+K+,Furaneol Halal Kosher,"0,0225","1,000",3658-77-3,warm,fruity,,"0,1"
187.571P,R02032,60030479_+K+,Furaneol Halal Kosher,"0,00992625","0,100",3658-77-3,warm,fruity,,"0,1"
187.773P,R02032,60030479_+K+,Furaneol Halal Kosher,"3,405E-5","0,800",3658-77-3,warm,fruity,,"0,1"
187.796P,R02032,60030479_+K+,Furaneol Halal Kosher,"0,01640475","0,150",3658-77-3,warm,fruity,,"0,1"
187.920P,R02032,60030479_+K+,Furaneol Halal Kosher,"0,02158755","0,200",3658-77-3,warm,fruity,,"0,1"
188.462KHP,R02032,60030479_+K+,Furaneol Halal Kosher,"0,0234","0,700",3658-77-3,warm,fruity,,"0,1"
188.481KHP,R02032,60030479_+K+,Furaneol Halal Kosher,"0,0108243","1,000",3658-77-3,warm,fruity,,"0,1"
188.639P,R02032,60030479_+K+,Furaneol Halal Kosher,"0,018",0.2,3658-77-3,warm,fruity,,"0,1"
188.740P,R02032,60030479_+K+,Furaneol Halal Kosher,"0,00198","1,000",3658-77-3,warm,fruity,,"0,1"
188.820,R02032,60030479_+K+,Furaneol Halal Kosher,0.006,"0,3",3658-77-3,warm,fruity,,"0,1"
188.822,R02032,60030479_+K+,Furaneol Halal Kosher,0.057,0.2,3658-77-3,warm,fruity,,"0,1"
188.866,R02032,60030479_+K+,Furaneol Halal Kosher,0.007815,0.5,3658-77-3,warm,fruity,,"0,1"
188.894,R02032,60030479_+K+,Furaneol Halal Kosher,0.0160812,0.5,3658-77-3,warm,fruity,,"0,1"
188.976,R02032,60030479_+K+,Furaneol Halal Kosher,0.0070308,0.5,3658-77-3,warm,fruity,,"0,1"
189.014,R02032,60030479_+K+,Furaneol Halal Kosher,0.00189195,1,3658-77-3,warm,fruity,,"0,1"
189.068,R02032,60030479_+K+,Furaneol Halal Kosher,0.0014733,0.5,3658-77-3,warm,fruity,,"0,1"
189.075,R02032,60030479_+K+,Furaneol Halal Kosher,0.042,0.25,3658-77-3,warm,fruity,,"0,1"
185.294,R02032,60030479_+K+,Furaneol Halal Kosher,0.001875,0.8,3658-77-3,warm,fruity,,"0,1"
185.664,R02032,60030479_+K+,Furaneol Halal Kosher,0.02379255,0.4,3658-77-3,warm,fruity,,"0,1"
186.192,R02032,60030479_+K+,Furaneol Halal Kosher,0.002334,0.23,3658-77-3,warm,fruity,,"0,1"
187.776,R02032,60030479_+K+,Furaneol Halal Kosher,0.02362545,0.4,3658-77-3,warm,fruity,,"0,1"
185.028,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","3,4125E-7","0,400",3658-77-3,warm,fruity,,"0,1"
185.043P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0021","0,800",3658-77-3,warm,fruity,,"0,1"
185.086,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0122724","0,300",3658-77-3,warm,fruity,,"0,1"
185.091,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00819","0,500",3658-77-3,warm,fruity,,"0,1"
185.178HP,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0082185","0,300",3658-77-3,warm,fruity,,"0,1"
185.314,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,000225","0,600",3658-77-3,warm,fruity,,"0,1"
185.339P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00026145","1,000",3658-77-3,warm,fruity,,"0,1"
185.382P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0001275","1,000",3658-77-3,warm,fruity,,"0,1"
185.471,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00051015","1,000",3658-77-3,warm,fruity,,"0,1"
185.507P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00826095","0,300",3658-77-3,warm,fruity,,"0,1"
185.578P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00018315","0,120",3658-77-3,warm,fruity,,"0,1"
185.796P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,003846","0,860",3658-77-3,warm,fruity,,"0,1"
185.984P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00075","0,400",3658-77-3,warm,fruity,,"0,1"
186.179P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00826095","0,400",3658-77-3,warm,fruity,,"0,1"
186.395P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0088674","1,000",3658-77-3,warm,fruity,,"0,1"
186.396P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00738945","1,000",3658-77-3,warm,fruity,,"0,1"
186.569P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0012504","0,300",3658-77-3,warm,fruity,,"0,1"
186.981P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00015","0,300",3658-77-3,warm,fruity,,"0,1"
187.004P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00068055","0,200",3658-77-3,warm,fruity,,"0,1"
187.064P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,03","0,500",3658-77-3,warm,fruity,,"0,1"
187.119P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00135","1,900",3658-77-3,warm,fruity,,"0,1"
187.246P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,000243","0,300",3658-77-3,warm,fruity,,"0,1"
187.482P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0001275","0,965",3658-77-3,warm,fruity,,"0,1"
187.483P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00110385","0,350",3658-77-3,warm,fruity,,"0,1"
187.507P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,01231575","0,600",3658-77-3,warm,fruity,,"0,1"
187.521P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0020217","0,600",3658-77-3,warm,fruity,,"0,1"
187.746P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00017325","1,000",3658-77-3,warm,fruity,,"0,1"
187.799P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,03063315","0,700",3658-77-3,warm,fruity,,"0,1"
187.800P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,001908","1,000",3658-77-3,warm,fruity,,"0,1"
187.826P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","7,5E-7","1,200",3658-77-3,warm,fruity,,"0,1"
187.829P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0014574","0,500",3658-77-3,warm,fruity,,"0,1"
187.843P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0014388","0,600",3658-77-3,warm,fruity,,"0,1"
187.886P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,003486","0,350",3658-77-3,warm,fruity,,"0,1"
187.892P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","9,3E-6","0,200",3658-77-3,warm,fruity,,"0,1"
187.894P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,01334715","0,250",3658-77-3,warm,fruity,,"0,1"
187.895P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0066228","0,120",3658-77-3,warm,fruity,,"0,1"
187.907,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0003927","2,000",3658-77-3,warm,fruity,,"0,1"
187.914P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0026997","0,700",3658-77-3,warm,fruity,,"0,1"
187.916P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,001908","1,000",3658-77-3,warm,fruity,,"0,1"
188.402P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","3,9E-6","2,000",3658-77-3,warm,fruity,,"0,1"
188.491P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,045","0,200",3658-77-3,warm,fruity,,"0,1"
188.628P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0246315","0,300",3658-77-3,warm,fruity,,"0,1"
188.656P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,0024","0,800",3658-77-3,warm,fruity,,"0,1"
188.668P,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher","0,00765","0,500",3658-77-3,warm,fruity,,"0,1"
188.819,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher",0.0021,"0,3",3658-77-3,warm,fruity,,"0,1"
188.977,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher",0.003,0.6,3658-77-3,warm,fruity,,"0,1"
188.992,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher",0.0501,0.4,3658-77-3,warm,fruity,,"0,1"
189.012,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher",0.006915,0.3,3658-77-3,warm,fruity,,"0,1"
189.051,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher",0.0075,0.2,3658-77-3,warm,fruity,,"0,1"
185.044,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher",0.0021,0.3,3658-77-3,warm,fruity,,"0,1"
187.365,R01849,60030347_+K+,"Furaneol, natürlich Halal Kosher",0.02519265,0.5,3658-77-3,warm,fruity,,"0,1"
188.481KHP,R02951,60030710,Furaneolacetat Halal Kosher,"0,000473","1,000",4166-20-5,warm,fruity,,
186.190P,R01640,60030181_+TK+G+,Furfural Halal,"0,00052","0,300",98-01-1,warm,woody,,"0,5"
186.950P,R01640,60030181_+TK+G+,Furfural Halal,"0,000445","1,000",98-01-1,warm,woody,,"0,5"
187.694P,R01640,60030181_+TK+G+,Furfural Halal,"0,000278","0,400",98-01-1,warm,woody,,"0,5"
187.695P,R01640,60030181_+TK+G+,Furfural Halal,"0,000159","0,750",98-01-1,warm,woody,,"0,5"
186.192,R01640,60030181_+TK+G+,Furfural Halal,0.000499,0.23,98-01-1,warm,woody,,"0,5"
185.902P,R01999,60030449_+TK+G+,"Furfural, natürlich Kosher Halal","1,6E-5","0,500",98-01-1,warm,woody,,"0,5"
186.985P,R01999,60030449_+TK+G+,"Furfural, natürlich Kosher Halal","5,8E-5","1,200",98-01-1,warm,woody,,"0,5"
187.004P,R02185,60030579,"gamma-Butyrolacton, natürlich","0,00017","0,200",96-48-0,fresh,warm,,
185.046,R01642,60030183,gamma-Decalacton Kosher Halal,"0,0011","0,600",706-14-9,warm,balsamic,fruity,"0,1"
185.090P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,00054","0,900",706-14-9,warm,balsamic,fruity,"0,1"
185.237H,R01642,60030183,gamma-Decalacton Kosher Halal,"0,002583","0,500",706-14-9,warm,balsamic,fruity,"0,1"
185.239,R01642,60030183,gamma-Decalacton Kosher Halal,"0,00195","0,200",706-14-9,warm,balsamic,fruity,"0,1"
185.321,R01642,60030183,gamma-Decalacton Kosher Halal,"0,007678","0,300",706-14-9,warm,balsamic,fruity,"0,1"
185.513P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,00073","0,800",706-14-9,warm,balsamic,fruity,"0,1"
185.514,R01642,60030183,gamma-Decalacton Kosher Halal,"0,002464","0,250",706-14-9,warm,balsamic,fruity,"0,1"
185.621P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,010392","0,200",706-14-9,warm,balsamic,fruity,"0,1"
185.644P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,009075","0,180",706-14-9,warm,balsamic,fruity,"0,1"
185.675P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,002","0,600",706-14-9,warm,balsamic,fruity,"0,1"
185.748P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,023343","0,100",706-14-9,warm,balsamic,fruity,"0,1"
186.190P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,018534","0,300",706-14-9,warm,balsamic,fruity,"0,1"
186.277P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,002585","0,500",706-14-9,warm,balsamic,fruity,"0,1"
186.490P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,000713","0,500",706-14-9,warm,balsamic,fruity,"0,1"
186.950P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,001335","1,000",706-14-9,warm,balsamic,fruity,"0,1"
187.015P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,0055","0,350",706-14-9,warm,balsamic,fruity,"0,1"
187.061P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,000758","1,000",706-14-9,warm,balsamic,fruity,"0,1"
187.167P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,056","0,050",706-14-9,warm,balsamic,fruity,"0,1"
187.519P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,006938","0,400",706-14-9,warm,balsamic,fruity,"0,1"
187.522P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,00256","0,500",706-14-9,warm,balsamic,fruity,"0,1"
187.567P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,003481","0,200",706-14-9,warm,balsamic,fruity,"0,1"
187.571P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,00475","0,100",706-14-9,warm,balsamic,fruity,"0,1"
187.608P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,00881","0,200",706-14-9,warm,balsamic,fruity,"0,1"
187.662P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,0029","0,500",706-14-9,warm,balsamic,fruity,"0,1"
187.694P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,00524","0,400",706-14-9,warm,balsamic,fruity,"0,1"
187.695P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,003624","0,750",706-14-9,warm,balsamic,fruity,"0,1"
187.752P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,002552","0,170",706-14-9,warm,balsamic,fruity,"0,1"
187.753P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,002552","0,170",706-14-9,warm,balsamic,fruity,"0,1"
187.773P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,002063","0,800",706-14-9,warm,balsamic,fruity,"0,1"
187.870P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,001688","1,000",706-14-9,warm,balsamic,fruity,"0,1"
187.871P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,017501","1,000",706-14-9,warm,balsamic,fruity,"0,1"
187.885P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,002684","0,900",706-14-9,warm,balsamic,fruity,"0,1"
187.892P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,042161","0,200",706-14-9,warm,balsamic,fruity,"0,1"
187.893P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,000537","2,300",706-14-9,warm,balsamic,fruity,"0,1"
187.896P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,008025","0,250",706-14-9,warm,balsamic,fruity,"0,1"
187.897P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,005914","0,350",706-14-9,warm,balsamic,fruity,"0,1"
187.920P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,013627","0,200",706-14-9,warm,balsamic,fruity,"0,1"
188.118P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,0031","0,250",706-14-9,warm,balsamic,fruity,"0,1"
188.462KHP,R01642,60030183,gamma-Decalacton Kosher Halal,"0,00623","0,700",706-14-9,warm,balsamic,fruity,"0,1"
188.481KHP,R01642,60030183,gamma-Decalacton Kosher Halal,"0,001568","1,000",706-14-9,warm,balsamic,fruity,"0,1"
188.560P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,0017","0,400",706-14-9,warm,balsamic,fruity,"0,1"
188.639P,R01642,60030183,gamma-Decalacton Kosher Halal,"0,000264",0.2,706-14-9,warm,balsamic,fruity,"0,1"
188.820,R01642,60030183,gamma-Decalacton Kosher Halal,0.0023,"0,3",706-14-9,warm,balsamic,fruity,"0,1"
188.822,R01642,60030183,gamma-Decalacton Kosher Halal,0.007942,0.2,706-14-9,warm,balsamic,fruity,"0,1"
188.866,R01642,60030183,gamma-Decalacton Kosher Halal,0.0021,0.5,706-14-9,warm,balsamic,fruity,"0,1"
188.894,R01642,60030183,gamma-Decalacton Kosher Halal,0.003464,0.5,706-14-9,warm,balsamic,fruity,"0,1"
188.976,R01642,60030183,gamma-Decalacton Kosher Halal,0.014388,0.5,706-14-9,warm,balsamic,fruity,"0,1"
189.014,R01642,60030183,gamma-Decalacton Kosher Halal,0.00491,1,706-14-9,warm,balsamic,fruity,"0,1"
189.051,R01642,60030183,gamma-Decalacton Kosher Halal,0.01215,0.2,706-14-9,warm,balsamic,fruity,"0,1"
