Stamm-Nr.,Rez.-Nr.,Rezepturbezeichnung,ERP-Nr.,Name,Totalmenge,CAS-Nr.: - Hinweis 1,Sensorik_1,Sensorik_2,Sensorik_3,Sensorik_4,Odour Type 1 FlavourWheel,Odour Type 2 Flavour Wheel,Odour Type 3 Flavour Wheel,Threshold ppm (Datenbank),,,
29200047,185.267,Erdbeer-Aroma,60030510,"Ethylcinnamat, natürlich Halal",0.0000260000,103-36-6,balsamic,cinnamic,honey,fruity,warm,fruity,,0.066666667,,,
RE00734_A01,185.471,Erdbeer-Aroma,60030510,"Ethylcinnamat, natürlich Halal",0.0001420000,103-36-6,balsamic,cinnamic,honey,fruity,warm,fruity,,0.066666667,,,
29201172,185.741P,Erdbeer-Aroma,60030638,Benzylbutyrat,0.0002530000,103-37-7,fruity,fresh,jasmin,apricot,fruity,fresh,floral,0.066666667,,,
29200817,185.796P,Erdbeer-Aroma,60030507,"Cinnamylacetat, natürlich Halal",0.0000010000,103-54-8,spicy,floral,balsamic,cinnamic,warm,floral,,2,,,
29202914,188.796P,Erdbeer-Aroma,60030507,"Cinnamylacetat, natürlich Halal",0.0000060000,103-54-8,spicy,floral,balsamic,cinnamic,warm,floral,,2,,,
29201964,187.893P,Erdbeer-Aroma,60030665,Anisylacetat Halal,0.0001090000,104-21-2,balsamic,vanilla,fruity,,warm,fruity,,0.50,,,
29200817,185.796P,Erdbeer-Aroma,60030101_+K+,"Zimtaldehyd, natürlich Halal Kosher",0.0000010000,104-55-2,spicy,cinnamon,,,warm,,,0.05,,,
29202914,188.796P,Erdbeer-Aroma,60030101_+K+,"Zimtaldehyd, natürlich Halal Kosher",0.0037530000,104-55-2,spicy,cinnamon,,,warm,,,0.05,,,
RE00956_A01,185.615,Erdbeer-Aroma,60030189,gamma-Undecalacton Halal Kosher,0.0101980000,104-67-6,fatty,peach,apricot,,fruity,dairy,,0.1,,,
29201172,185.741P,Erdbeer-Aroma,60030189,gamma-Undecalacton Halal,0.0008460000,104-67-6,fatty,peach,apricot,,fruity,dairy,,0.1,,,
RE02504_A01,186.293P,Erdbeer-Aroma,60030438,"gamma-Undecalacton, natürlich Halal",0.0020350000,104-67-6,fatty,peach,apricot,,fruity,dairy,,0.1,,,
29201964,187.893P,Erdbeer-Aroma,60030189,gamma-Undecalacton Halal Kosher,0.0006950000,104-67-6,fatty,peach,apricot,,fruity,dairy,,0.1,,,
